bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_negative_penalty,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.9799521284194246,35.131431579589844,1.1974187362297127e-05,80255.90023599876,0.0,80255.90023599876,0.9609991863556755,0.1130993589758873,1453.2977572467923,0.00377368334550783,0.9484307765960693,9.02111679315567,2.0,2.0,9.96954756975174,9.957648754119873,29.896743893623352,4.696720838546753,0,80255.90023599876,
0.0,0.5515509751802715,10.427616119384766,1.144414801745209,0.19913226511586707,0.0,0.19913226511586707,0.2278899117036494,0.03957788646221161,1647.3720314828456,0.09769967855620383,1.477536678314209,11.86451569199562,2.0,2.0,13.34205237030983,2.6561588644981384,29.340263605117798,0.06366331595927477,1,0.19913226511586707,
0.0,0.594447349737031,12.382079124450684,0.8517247915843394,0.2996626568777399,0.0,0.2996626568777399,0.25523011397480244,0.03928816691040993,2693.638239853978,0.05559800474071503,0.5495657585561275,5.190489109605551,2.0,2.0,5.740054868161678,9.659629344940186,21.139739081263542,0.38054443895816803,2,0.2996626568777399,"ood:cond:pp:2693.64 outside [505.725,2097.14]"
0.0,0.5185253778325145,8.22374153137207,0.3688638244005797,0.5462846312442345,0.0,0.5462846312442345,0.20150463829200876,0.05164699628949165,673.9562490912526,0.08608034773039817,1.4862556457519531,9.046766936779022,2.0,2.0,10.533022582530975,6.363992691040039,27.43003785610199,4.046342670917511,3,0.5462846312442345,
0.0,0.5931975600520882,10.884201049804688,0.9559248743298729,0.27055990335348307,0.0,0.27055990335348307,0.2586349416118809,0.0421874113380909,1678.9811046399773,0.08331626185417175,0.546205461025238,10.476220473647118,2.0,2.0,11.022425934672356,2.4983780682086945,24.543229937553406,4.868138134479523,4,0.27055990335348307,
0.0,0.6805535689019799,14.82070255279541,1.7651273875746791,0.16878997030787413,0.0,0.16878997030787413,0.2979357993383455,0.031184319406747818,2949.701627617955,0.09039136203622818,0.8751270473003387,4.483105659484863,2.0,2.0,5.358232706785202,9.980378150939941,20.696843564510345,4.379260838031769,5,0.16878997030787413,"ood:cond:pp:2949.7 outside [505.725,2097.14]"
0.0,0.9732451749092557,72.29273223876953,8.186785360537242e-05,10503.08884965405,0.0,10503.08884965405,0.8598653403476971,0.10892615467309952,867.7483326424956,0.00463409025003016,1.2592702507972717,8.025826394557953,2.0,2.0,9.285096645355225,9.57607126235962,28.14626455307007,0.8045709133148193,6,10503.08884965405,
0.0,0.6387739088419523,14.667450904846191,0.350405947657651,0.8763611275162527,0.0,0.8763611275162527,0.30708215137766004,0.04480405151844025,2991.4961752702593,0.026082114086627962,1.2399304509162903,6.842217609286308,2.0,2.0,8.082148060202599,4.755529165267944,20.91982528567314,2.889074683189392,7,0.8763611275162527,"ood:cond:pp:2991.5 outside [505.725,2097.14]"
0.0,0.8528833196873254,90.90959930419922,0.005949323936493035,70.7119888883466,0.0,70.7119888883466,0.4206885280904699,0.08433377742767334,2175.084518519938,0.005963905961871147,1.3099167943000793,6.76299319131067,2.0,2.0,8.07290998561075,3.859573245048523,20.005393216270022,0.12914789840579033,8,70.7119888883466,"ood:cond:pp:2175.08 outside [505.725,2097.14]"
0.0,0.5443114644754881,12.096674919128418,0.12368072694335791,0.9486666472977432,0.0,0.9486666472977432,0.117331780564703,0.05423784255981445,2682.522164180398,0.02023996231120825,1.4584144949913025,11.016758739948273,2.0,2.0,12.475173234939575,4.182316541671753,29.132663011550903,4.12770688533783,9,0.9486666472977432,"ood:cond:pp:2682.52 outside [505.725,2097.14]"
0.0,0.6039220733167608,12.498085021972656,0.02584482408037915,5.321482893316797,0.0,5.321482893316797,0.13753278922451967,0.06334169209003448,625.4911324948929,0.014828671358704568,0.5142099307850003,11.007920677773654,2.0,2.0,11.522130608558655,5.3252763748168945,28.369537591934204,1.9348879158496857,10,5.321482893316797,
0.0,0.6057877247702947,13.016948699951172,0.7571941897010481,0.2788674868904923,0.0,0.2788674868904923,0.21115684077001398,0.038565706461668015,2628.204787028432,0.0732887613492012,1.2935820817947388,8.520787060260773,2.0,2.0,9.814369142055511,9.88908338546753,29.517821669578552,0.8664048463106155,11,0.2788674868904923,"ood:cond:pp:2628.2 outside [505.725,2097.14]"
0.0,0.6069729584584517,15.219473838806152,0.10278509051301767,1.9193630111688114,0.0,1.9193630111688114,0.1972819008303244,0.05269936844706535,2947.4867670816775,0.01369608433353901,0.5002667429216672,11.486792552255793,2.0,2.0,11.98705929517746,3.474458694458008,27.448577284812927,1.275700032711029,12,1.9193630111688114,"ood:cond:pp:2947.49 outside [505.725,2097.14]"
0.0,0.6257634925882533,10.772302627563477,0.24780723872179214,1.1524745103852487,0.0,1.1524745103852487,0.28559152611581784,0.0574796162545681,519.2810235116557,0.04399725898194313,0.9525359869003296,6.291228085756302,2.0,2.0,7.2437640726566315,6.336198806762695,20.82372695207596,0.05640271585434675,13,1.1524745103852487,
0.0,0.6037783661388784,14.215009689331055,1.2065742523326808,0.1423866082540388,0.0,0.1423866082540388,0.17180001539630316,0.03339345008134842,2582.516580260336,0.09212715305948257,1.2863100171089172,10.083538234233856,2.0,2.0,11.369848251342773,5.417457818984985,28.157154321670532,0.11116513982415199,14,0.1423866082540388,"ood:cond:pp:2582.52 outside [505.725,2097.14]"
0.0,0.560286942627608,11.540229797363281,0.2057630111506055,0.9371276936681973,0.0,0.9371276936681973,0.19282621608179049,0.051983390003442764,2931.844193759322,0.023339022239089013,0.8253376185894012,7.73693123459816,2.0,2.0,8.562268853187561,8.602842807769775,25.727380514144897,4.820887744426727,15,0.9371276936681973,"ood:cond:pp:2931.84 outside [505.725,2097.14]"
0.0,0.5655465254871963,9.883034706115723,0.5257970659758773,0.39913498549944315,0.0,0.39913498549944315,0.20986400430393154,0.0488620325922966,1105.6722816859483,0.06618049539089202,0.5840568542480469,11.634015366435051,2.0,2.0,12.218072220683098,2.3221884071826935,26.75833284854889,0.6690002232789993,16,0.39913498549944315,
