pp,pp0,sampler_area_proxy,sampler_fill_ratio,sampler_min_gap,sampler_nncoil_effective,sampler_pitch,sampler_r_center_mean,sampler_r_center_std,sampler_rank,sampler_span_r,sampler_structure_signature,sampler_z_max,sampler_z_min,series.llcoil,series.nncoil,series.rrc,series.rrce,series.zzc
1453.2977572467923,0.00377368334550783,1.7990418672561646,0.0951327800946224,9.02111679315567,2.0,9.96954756975174,15.416637420654297,4.984773635864258,0,19.93909513950348,da9a3f1a47db80d7,19.645151615142822,18.696720838546753,0.9484307765960693,2.0,9.957648754119873,29.896743893623352,4.696720838546753
1647.3720314828456,0.09769967855620383,4.366229057312012,0.1107428330593412,11.86451569199562,2.0,13.34205237030983,10.065954208374023,6.671026706695557,1,26.68410474061966,af6d48f4bf50f42a,15.541199994273484,14.063663315959275,1.477536678314209,2.0,2.6561588644981384,29.340263605117798,0.06366331595927477
2693.638239853978,0.05559800474071503,0.6040449738502502,0.09574224831968071,5.190489109605551,2.0,5.740054868161678,12.804439544677734,2.870027542114258,2,11.480109736323357,7b05c0c010806e36,14.930110197514296,14.380544438958168,0.5495657585561275,2.0,9.659629344940186,21.139739081263542,0.38054443895816803
673.9562490912526,0.08608034773039817,4.417911529541016,0.1411043823467073,9.046766936779022,2.0,10.533022582530975,12.373631477355957,5.266510963439941,3,21.06604516506195,1ac0ad7450ff4675,19.532598316669464,18.04634267091751,1.4862556457519531,2.0,6.363992691040039,27.43003785610199,4.046342670917511
1678.9811046399773,0.08331626185417175,0.5966808199882507,0.049554015083656276,10.476220473647118,2.0,11.022425934672356,8.282693862915039,5.511213302612305,4,22.04485186934471,bb207cc839539a0d,19.41434359550476,18.868138134479523,0.546205461025238,2.0,2.4983780682086945,24.543229937553406,4.868138134479523
2949.701627617955,0.09039136203622818,1.531694769859314,0.16332382245962435,4.483105659484863,2.0,5.358232706785202,13.097058296203613,2.6791162490844727,5,10.716465413570404,4b284e203880e752,19.254387885332108,18.37926083803177,0.8751270473003387,2.0,9.980378150939941,20.696843564510345,4.379260838031769
867.7483326424956,0.00463409025003016,3.171522855758667,0.13562274027887572,8.025826394557953,2.0,9.285096645355225,14.848255157470703,4.642548084259033,6,18.57019329071045,a93ec54dcc8f9219,16.06384116411209,14.80457091331482,1.2592702507972717,2.0,9.57607126235962,28.14626455307007,0.8045709133148193
2991.4961752702593,0.026082114086627962,3.074854850769043,0.1534159534916029,6.842217609286308,2.0,8.082148060202599,9.416568756103516,4.041074275970459,7,16.164296120405197,ff87fd91e40b2b43,18.129005134105682,16.889074683189392,1.2399304509162903,2.0,4.755529165267944,20.91982528567314,2.889074683189392
2175.084518519938,0.005963905961871147,3.4317636489868164,0.16226079525659157,6.76299319131067,2.0,8.07290998561075,8.550986289978027,4.036455154418945,8,16.1458199712215,9793826e4ddf958c,15.43906469270587,14.12914789840579,1.3099167943000793,2.0,3.859573245048523,20.005393216270022,0.12914789840579033
2682.522164180398,0.02023996231120825,4.253945827484131,0.11690535013226744,11.016758739948273,2.0,12.475173234939575,11.149110794067383,6.237586975097656,9,24.95034646987915,f93a14c1347f6af8,19.586121380329132,18.12770688533783,1.4584144949913025,2.0,4.182316541671753,29.132663011550903,4.12770688533783
