sampler,n_trials,best_value,best_cv,best_density_ratio,best_nncoil,top10_median_objective,top10_median_cv,top10_median_density_ratio,all_median_nn_dist,top10_median_nn_dist
feature archive,512,0.1174223501836472,0.267567269951526,2.2786741155585264,6.0,0.163124550693855,0.26085540803809204,1.6096526311326036,1.9195719734983347,2.21275743143105
parameter two-stage,512,0.1323982968063745,0.2446074651143339,1.8475121736049167,2.0,0.15938137842908245,0.25745788899445216,1.6559272217867003,1.298634638189,0.8746144155864295
