sampler,group,nearest_descriptor_distance
feature archive,all,2.285059244559704
feature archive,all,2.4287620650666817
feature archive,all,2.2972047406613547
feature archive,all,1.8964157693256394
feature archive,all,1.764940835189863
feature archive,all,1.0068772013047382
feature archive,all,1.9007450495468106
feature archive,all,2.4752869886841733
feature archive,all,2.3708501903998798
feature archive,all,1.1861476085795728
feature archive,all,2.094041188505732
feature archive,all,1.6145292818140276
feature archive,all,2.4794337561234667
feature archive,all,2.019612569060041
feature archive,all,2.4287620650666817
feature archive,all,1.9998650404042833
feature archive,all,2.1122499372877206
feature archive,all,2.1630427729766457
feature archive,all,2.376773092932731
feature archive,all,2.0400778011127976
feature archive,all,2.375721349691499
feature archive,all,1.9819321744499556
feature archive,all,2.0654272812575805
feature archive,all,2.3027947970522096
feature archive,all,1.764940835189863
feature archive,all,2.0400778011127976
feature archive,all,1.9313795810218075
feature archive,all,1.3627237618883203
feature archive,all,1.9896144008062027
feature archive,all,2.5580346047021782
feature archive,all,1.1861476085795728
feature archive,all,1.8868447832113147
feature archive,all,2.1468272309754393
feature archive,all,2.1921592881804717
feature archive,all,1.875114976613647
feature archive,all,1.8964157693256394
feature archive,all,2.0868869076960146
feature archive,all,2.026584023133859
feature archive,all,1.6803714371770384
feature archive,all,1.0068772013047382
feature archive,all,1.5538029160016822
feature archive,all,1.3627237618883203
feature archive,all,1.8965366239049075
feature archive,all,2.1468272309754393
feature archive,all,2.2688361507165395
feature archive,all,0.8335173310241671
feature archive,all,2.022497829270337
feature archive,all,1.91616991473471
feature archive,all,2.1616463580087664
feature archive,all,2.1372036738281652
feature archive,all,1.5538029160016822
feature archive,all,2.161007260652223
feature archive,all,2.665957767277767
feature archive,all,1.6339480354322178
feature archive,all,2.355401180634934
feature archive,all,1.6145292818140276
feature archive,all,1.9615330926859444
feature archive,all,1.875114976613647
feature archive,all,2.1372036738281652
feature archive,all,2.4021377475268886
feature archive,all,2.0061254267599495
feature archive,all,1.4914782587928306
feature archive,all,1.7830633887279996
feature archive,all,2.368976586783167
feature archive,all,2.2688361507165395
feature archive,all,1.6803714371770384
feature archive,all,2.44765252835824
feature archive,all,2.222907793287393
feature archive,all,1.7830633887279996
feature archive,all,2.1418916246430415
feature archive,all,2.019612569060041
feature archive,all,2.503498018219439
feature archive,all,2.5044887112940364
feature archive,all,1.9819321744499556
feature archive,all,1.8541441988033847
feature archive,all,1.7062865780759686
feature archive,all,2.3811923666186408
feature archive,all,1.7062865780759686
feature archive,all,2.364906629662517
feature archive,all,2.0127238801555505
feature archive,all,1.9748740242550868
feature archive,all,0.8335173310241671
feature archive,all,1.6309568184529915
feature archive,all,2.2123410410450726
feature archive,all,2.3255780580740453
feature archive,all,2.6150601180925785
feature archive,all,1.7855669997818033
feature archive,all,2.094041188505732
feature archive,all,1.8554460839424944
feature archive,all,2.222907793287393
feature archive,all,2.3134495535988835
feature archive,all,1.7855669997818033
feature archive,all,2.272289649544782
feature archive,all,2.548656063133422
feature archive,all,1.789695301672387
feature archive,all,2.5930137541953093
feature archive,all,1.8965366239049075
feature archive,all,1.4936086868222862
feature archive,all,1.8554460839424944
feature archive,all,2.166597546875157
feature archive,all,1.4936086868222862
feature archive,all,1.6309568184529915
feature archive,all,1.8596305147958516
feature archive,all,1.8212106663191328
feature archive,all,1.9998650404042833
feature archive,all,2.190549454000067
feature archive,all,2.53598401846925
feature archive,all,1.702690533342312
feature archive,all,1.6928228647110426
feature archive,all,1.916774971108687
feature archive,all,1.9246612245249712
feature archive,all,1.044477273276734
feature archive,all,1.603603417286444
feature archive,all,1.4546319169998874
feature archive,all,2.148460754719243
feature archive,all,1.7071509737175241
feature archive,all,1.6719493118300999
feature archive,all,2.178847587251722
feature archive,all,2.2636539656270833
feature archive,all,2.0943601675849344
feature archive,all,2.020481557636861
feature archive,all,1.8220545475654488
feature archive,all,1.8736030362228848
feature archive,all,1.9871552958607654
feature archive,all,2.2826616556428045
feature archive,all,2.005611662128529
feature archive,all,1.8211131520041728
feature archive,all,2.4219066723573652
feature archive,all,1.799048871810154
feature archive,all,1.3239782586298023
feature archive,all,2.0858006132862354
feature archive,all,2.582141208995848
feature archive,all,1.6339480354322178
feature archive,all,1.8085176403317589
feature archive,all,1.6976448486042641
feature archive,all,1.9473892478840735
feature archive,all,2.2385992244893522
feature archive,all,2.146410194739588
feature archive,all,1.777625668467692
feature archive,all,1.8693471125495371
feature archive,all,1.8541441988033847
feature archive,all,1.8736030362228848
feature archive,all,2.1475520942176174
