,PC1,PC2,PC3
pp,0.003857083966496644,0.059559535661781196,0.10572472488518235
pp0,-0.019031707793661926,0.0695193336094852,0.11400118228296513
series.nncoil_effective,0.32209638728685785,0.07529952467384866,-0.10589303173943375
series.llcoil,0.19756992273598634,-0.12188087563624118,-0.31664592685793347
series.rrc,0.12465241276480953,-0.012170014506581726,-0.020233363246285004
series.rrce,-0.15886204755438063,-0.0824852229935893,-0.554258145447041
series.zzc,0.026748768539981763,-0.554708150982136,0.13545040097385402
series.pitch_effective,-0.37486092740934507,-0.10063331187946888,-0.1208380268434647
series.min_gap_effective,-0.39701916984650165,-0.08458917865419248,-0.0801615207988913
span_r,-0.2038170906364376,-0.05735426959783263,-0.4241873870727768
fill_ratio,0.4228131204206131,-0.008763938077087634,-0.08925365036908121
area_proxy,0.33334202480345887,-0.06997456148409632,-0.32156040405046893
r_mid,-0.045800289128815806,-0.07136371307641058,-0.4414431614055329
z_min,0.02674876853998187,-0.5547081509821361,0.13545040097385405
z_max,0.06475962003615562,-0.5639377927044315,0.06981911540315083
radial_compactness,0.42281312042061325,-0.00876393807708763,-0.0892536503690813
