figure_id,path,split,model,case_id,case_hash,target,notes
F30_deeponet_pod_spatial_gt_pred_error_interp,docs\reports\icddps_invited_talk\figures\spatial_fields\deeponet_pod\F30_deeponet_pod_spatial_gt_pred_error_interp.png,interp,deeponet_pod,case_td003_pp0_5_gamma_007__steady,a40814871c5759b4b72e3b6278ba595098d7fc3e,,78-case deeponet_pod percent-normalized conference figure
F31_deeponet_pod_spatial_gt_pred_error_extrap,docs\reports\icddps_invited_talk\figures\spatial_fields\deeponet_pod\F31_deeponet_pod_spatial_gt_pred_error_extrap.png,extrap,deeponet_pod,case_td030_pa200_pp0_5_gamma_010__steady,8fc21073606208c04c6e882d0e697579a65073c7,,78-case deeponet_pod percent-normalized conference figure
F33_deeponet_pod_error_map_boundary_case,docs\reports\icddps_invited_talk\figures\spatial_fields\deeponet_pod\F33_deeponet_pod_error_map_boundary_case.png,extrap,deeponet_pod,case_td003_pa050_pp0_5_gamma_004__steady,6fb5256a05de9bb1eb099d0990f8d6adaf89488c,phi,78-case deeponet_pod percent-normalized conference figure
F34_deeponet_pod_te_deep_case,docs\reports\icddps_invited_talk\figures\spatial_fields\deeponet_pod\F34_deeponet_pod_te_deep_case.png,interp,deeponet_pod,case_td003_pa200_pp0_1_gamma_010__steady,436360fc9f4a30360ba85cd7a4aad5c39963d97b,Te,78-case deeponet_pod percent-normalized conference figure
