model_id,objective,space,score_lower_is_better,base_score,trial_best_score,relative_improvement,recommended_source,base_relative_uniformity,trial_best_relative_uniformity,base_mean_density,trial_best_mean_density,density_ref,trial_best_density_gain,trial_best_negative_penalty,trial_best_low_density_penalty,base_boundary_gamma_uniformity,trial_best_boundary_gamma_uniformity,best_pp,best_pp0,base_pp,base_pp0,condition_mode,layout_center_span,layout_size_min_scale,layout_size_max_scale,n_trials
ffno,cv_over_density_gain_at_plasma_mean_height_ne,dataset_bounds_process_and_wide_layout,true,0.3543931414972725,0.306884105029086,0.13405743764528294,trial_best,0.3543931414972725,0.32120050346346923,2.8666223554843796e+18,3.140321614224289e+18,2.8666223554843796e+18,1.0954779614469523,0.0,0.0,0.7903564984463768,0.8510661707903914,2827.9413404426364,0.09500901504888626,2823.804,0.08349,dataset_bounds,0.9,0.5,1.5,240
unet,cv_over_density_gain_at_plasma_mean_height_ne,dataset_bounds_process_and_wide_layout,true,0.803108826813277,0.7021678686572731,0.12568777080503027,trial_best,0.8031083433716124,0.7733802061174473,9.14123957795361e+17,1.1089471227434246e+18,9.14123957795361e+17,1.213125543080534,1.2501189457842704e-07,0.0,0.649543951789388,0.7051544815337146,2676.5168338826247,0.0962244484539277,2823.804,0.08349,dataset_bounds,0.9,0.5,1.5,240
