model_id,source,part_id,r_center,z_center,width,height,delta_r_center,delta_z_center,delta_width,delta_height
ffno,trial_best,coil_01,4.918144694690866,14.703847396693067,0.3308462601923473,0.8220371948268472,0.8951946946908658,-0.4746026033069324,-0.2234537398076527,0.2677371948268472
ffno,trial_best,coil_02,8.610051300318554,15.736860058303321,0.7790841231592518,0.33105581189820826,0.26143463331855443,0.5584100583033216,0.22478412315925178,-0.22324418810179175
ffno,trial_best,coil_03,12.539433159166515,14.555329107294082,0.5135467428620324,0.5096770786017806,-0.13485017083348438,-0.6231208927059182,-0.040753257137967625,-0.04462292139821944
ffno,trial_best,coil_04,17.44321665862055,15.02540772373683,0.33731014906606116,0.3701005469365746,0.44326665862055137,-0.1530422762631698,-0.21698985093393885,-0.1841994530634254
ffno,trial_best,coil_05,20.88419749543859,15.641848692471015,0.5173966819106165,0.6009776479908411,-0.44141917456141044,0.4633986924710154,-0.03690331808938352,0.046677647990841065
ffno,trial_best,coil_06,25.375478481623727,14.474611954859691,0.71353267622251,0.4981230430315077,-0.2758048483762714,-0.7038380451403086,0.15923267622251003,-0.05617695696849234
unet,trial_best,coil_01,3.377356465814515,15.877449168666223,0.7115556818707887,0.4451854219011511,-0.6455935341854846,0.6989991686662229,0.15725568187078864,-0.10911457809884889
unet,trial_best,coil_02,7.897704799372058,14.29662525042446,0.5662619494725971,0.4183090489962423,-0.45091186762794155,-0.8818247495755394,0.0119619494725971,-0.1359909510037577
unet,trial_best,coil_03,13.105125603047574,15.639057780775795,0.7532829758245154,0.7043307942425312,0.43084227304757405,0.46060778077579556,0.1989829758245154,0.15003079424253118
unet,trial_best,coil_04,17.754276775695395,15.32706638481844,0.5471138912140157,0.5398519053521156,0.7543267756953966,0.14861638481844075,-0.0071861087859843575,-0.014448094647884435
unet,trial_best,coil_05,20.56315106048088,15.571103786221522,0.5257614083749063,0.795241275849435,-0.7624656095191185,0.3926537862215227,-0.028538591625093757,0.24094127584943503
unet,trial_best,coil_06,25.033807219864393,15.913330437351249,0.6831756063900527,0.7910719207346409,-0.6174761101356054,0.734880437351249,0.1288756063900527,0.23677192073464093
