bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,layout.coil_01.height,layout.coil_01.r_center,layout.coil_01.width,layout.coil_01.z_center,layout.coil_02.height,layout.coil_02.r_center,layout.coil_02.width,layout.coil_02.z_center,layout.coil_03.height,layout.coil_03.r_center,layout.coil_03.width,layout.coil_03.z_center,layout.coil_04.height,layout.coil_04.r_center,layout.coil_04.width,layout.coil_04.z_center,layout.coil_05.height,layout.coil_05.r_center,layout.coil_05.width,layout.coil_05.z_center,layout.coil_06.height,layout.coil_06.r_center,layout.coil_06.width,layout.coil_06.z_center,poisson_residual_norm,pp,pp0,trial,value,warnings,model_id
0.0,0.6742120339411032,8.826566696166992,0.34845749353926575,3.327624490236393,0.6392994224757618,15.814672790737289,0.38899617422031724,7.8410502137543245,0.674352863692442,15.125709407204695,0.5073075161541464,12.402749378491714,0.3125441353675485,15.096849098640805,0.4442455528821012,16.80028815592308,0.5766370812564858,15.508911445729993,0.6234502426698925,21.76248468699943,0.28724788030815934,15.456112869517822,0.5776152707751544,26.283697153555135,0.7976539110001631,14.301531613247512,0.026343896985054016,2236.4447602743544,0.06510072161389623,0.0,0.4671901614272683,ood:cond:pp:2236.44 outside [505.725,ffno
0.0,0.6629820068325963,8.347177505493164,0.6234256386729367,4.4989030483328625,0.746640006974533,15.971535250409266,0.6289672294763573,8.995192035374945,0.5530244092956547,14.6984995292658,0.3658700660423224,12.670462730943912,0.6902993906300454,15.087267909317308,0.6547821598593782,16.325517815795596,0.8157695536754179,15.131467452068597,0.7354653360752657,21.737682905832703,0.7098827706127642,14.968323010799086,0.33845528097624344,25.57084995016907,0.4607866084277846,14.995993702539423,0.023495249450206757,2571.636243152411,0.027527765913650068,1.0,0.784469107504264,ood:cond:pp:2571.64 outside [505.725,ffno
0.0,0.6492323110189984,9.196621894836426,0.7108957180455445,3.4224003424691967,0.6062322894251362,14.902526426026363,0.4115011627446763,8.155344871586973,0.7950480959181014,15.319496783725874,0.5643745821497037,13.220755903400338,0.5563538228269405,14.48117214791011,0.3498407212145384,17.393149959593575,0.5358912936629576,14.654346549937879,0.8130955874244333,20.912255018337508,0.7110414836347397,14.848772448548331,0.6907465649149604,25.70064657916338,0.29737579594413166,15.561552493588646,0.02382773533463478,2980.956389421123,0.03292008010614286,2.0,0.6169744647140117,ood:cond:pp:2980.96 outside [505.725,ffno
0.0,0.6986255395851252,7.739285469055176,0.6727887440302416,4.914473407274592,0.5249221469274398,15.488627973757318,0.5463392709674868,8.647828090473894,0.3652592207567983,16.06759084965752,0.3569175082530162,12.975835366533417,0.31368407692149225,14.43569506664855,0.7614402298765117,17.449317080194277,0.3305637947955942,14.78445607993997,0.3160452212255033,22.109589007396114,0.7464231725121001,15.676637374551714,0.6642939794389455,25.96164138101006,0.2953389807686443,14.38029394601382,0.0255291685461998,1234.0648621198002,0.045061209055956966,3.0,0.9341467333844251,,ffno
0.0,0.6907386950745296,8.636791229248047,0.7367723034134865,3.9198190792598027,0.4152739363593464,15.420411728933953,0.8047758601708592,8.322442350769482,0.5887327081620747,14.800267221382141,0.6948002367068284,12.037583261326805,0.6482886753225354,14.671867480585162,0.6515320202531207,17.00354233358423,0.7343995306856441,15.298028134723934,0.7799780611876497,21.23718471568555,0.28551410212247014,16.033899374015785,0.7032225612497467,26.231651826937274,0.7360358012514967,14.505730518737364,0.02595822885632515,1256.196716168312,0.058858947396367954,4.0,0.7010178082823637,,ffno
0.0,0.6412678207654788,10.633903503417969,0.44841154327558164,3.411099578628196,0.5448308463703683,14.61984036284884,0.3942049896374747,8.49127934349572,0.36662181212503886,15.145932617809327,0.6617747345237018,11.802443544015023,0.7673419616605139,15.636490253695648,0.6939020795532089,17.403186124620344,0.8099246824286609,14.537993660017051,0.3230015272423596,21.75710405717747,0.28722859153123165,15.41250195791827,0.6228436836565089,26.4147789323454,0.3313829003370769,14.91223954531114,0.01827816665172577,2686.652407174797,0.011146870351375914,5.0,1.2653877537695593,ood:cond:pp:2686.65 outside [505.725,ffno
0.0,0.6867930573092237,8.42655086517334,0.4386838082927774,3.4459199050357534,0.2883336020393408,15.23067480897446,0.3125893468592803,8.293152550952545,0.6837861624142039,15.032171289687765,0.6142898867428196,13.48965124017743,0.37669552799261413,15.436754817583873,0.6482420535451556,17.01561299267411,0.4662825299279119,14.57141239452651,0.4864617847757359,21.422442559697892,0.81623751881107,14.770586474060126,0.7533073319289194,26.16528642231309,0.4806802539492699,15.31483650205995,0.02530648373067379,2400.3934610415413,0.036747977441116596,6.0,0.6646486716058811,ood:cond:pp:2400.39 outside [505.725,ffno
0.0,0.7167346752375271,6.278313159942627,0.5501651228043157,3.3995677278748917,0.7169298214919771,15.846956517865712,0.6853948523998479,9.21805876125178,0.4308417789914204,15.275065926576815,0.5211611425868485,12.923381860744279,0.43262862603532515,15.505820604759505,0.5363810344428528,16.79065406780828,0.664536398065323,14.768368507173113,0.4605052309464549,22.221575041534162,0.49293062407814814,14.887117205021426,0.8118508558797675,26.437930792800323,0.7871273286998672,14.45522490313822,0.023618903011083603,572.395996178269,0.09798564315827755,7.0,0.7852238572251734,,ffno
0.0,0.6364602061528337,10.16238784790039,0.6367819344409726,4.6641123866407765,0.6910472476482443,14.384859218562946,0.6065660801353836,7.756542785415865,0.7361463638282841,14.686404892003058,0.39127546969878363,12.41372879751413,0.5826490383847882,15.904063687859544,0.37615264692235106,17.61248331218909,0.5104710821428049,16.067684356894482,0.6297404332801055,20.823679086796385,0.5588851414731189,15.614012447243022,0.7378843752034077,25.59212076170767,0.4865071864808985,15.603577038041236,0.022514358162879944,2511.9686774021025,0.023362525345872645,8.0,0.8224758336416252,ood:cond:pp:2511.97 outside [505.725,ffno
0.0,0.6792199398830115,8.01579761505127,0.49658363511598735,4.373718266716021,0.3256025127711457,14.732728635924193,0.43693662780022424,7.9963667230664,0.8134176543782371,15.815662576166146,0.32519800260417775,12.813195748046097,0.8042025388944657,15.737523277772139,0.30474651844350203,17.432207821370874,0.7098485215962393,15.902393534338387,0.5994840978421987,21.212551782216114,0.3789171404964314,15.348598159997533,0.43238333700968434,25.269836787545884,0.5711233122850359,14.410669258173002,0.023752853274345398,759.133444076655,0.0713253586417649,9.0,0.8151821070450357,,ffno
0.0,0.7153260192460423,8.27904224395752,0.5333505151668874,3.4611727644014056,0.6905791987498626,15.83320411312667,0.6608521332584028,9.058519066296716,0.7673843926724776,15.339065547215029,0.69368657577857,12.031366146834651,0.5852190525434463,16.018552793916705,0.6900603787554667,17.84501486075217,0.4506351380174863,14.544242725464496,0.31226587775893133,20.46238191167604,0.6054562579434284,15.547679538328673,0.372576926397965,26.464975644910254,0.43266918157941286,14.703959654521054,0.02627570740878582,1719.999796371821,0.02737350575084978,10.0,1.1270538691681957,,ffno
0.0,0.8718027599167585,48.90717315673828,0.5349673328143527,4.326908151393565,0.5877208985286417,14.697214275642693,0.7247592981643652,8.44718746619644,0.5946561807795925,14.974155022481597,0.8191753917158023,11.878194045216231,0.4176724984347285,15.566213960612519,0.4462412494278965,17.457897857073068,0.6911867118535135,15.022552268000554,0.743807515029171,21.675045315981006,0.6502926060475941,15.259376201835886,0.5925385988634735,26.408829641805056,0.7372741032534089,14.721176677442497,0.03568063676357269,2265.9245415882833,0.005532827864571234,11.0,1.0583389900948876,ood:cond:pp:2265.92 outside [505.725,ffno
0.0,0.6691605025961664,9.596604347229004,0.540838616961425,4.090093134553007,0.579114644923605,15.14894313245157,0.8095583127803316,8.805325846158812,0.3368053397268684,14.785728834465292,0.4805319715634814,13.539707174672083,0.5880602270068782,15.41123132653165,0.8064578147269413,17.58618116922767,0.40805312072815736,14.740389279201207,0.6098498619141202,21.33395387789703,0.2849905722288422,15.250819094138745,0.7989678646840136,25.980218667830652,0.353165554706205,15.54393304032436,0.025546511635184288,2728.3367808913154,0.061989715741157886,12.0,0.4491972022309227,ood:cond:pp:2728.34 outside [505.725,ffno
0.0,0.7181204686717214,7.507223129272461,0.5782180683053852,4.728676810115189,0.7048924962662539,16.01929368504927,0.5640102412897443,8.340216419005838,0.31109702487967666,15.48937613189301,0.4107274357226849,12.248171562201103,0.6036150425337672,15.471601263898819,0.3458992547213313,17.062710900347078,0.28129860491493086,14.346914300993932,0.5928311991269288,21.68988197032021,0.5121539823803025,15.405553338998752,0.7390669377473653,25.722766666099858,0.7679093704920652,15.134449193885255,0.026086265221238136,948.6358580107155,0.09728565146259334,13.0,0.586276020739408,,ffno
0.0,0.6748262011412506,9.43411636352539,0.6281611364745974,4.006391027079893,0.715138677630247,15.419245063980545,0.7557250966188572,8.975512454922168,0.6471396358922008,14.929500576832394,0.8010463716648532,12.892528209835763,0.4289321744423842,15.766587628178424,0.4037157897438348,16.117657344420355,0.7704320976455309,14.713626520242332,0.47594106264398095,21.285415496451737,0.3357700060509382,15.182429703787841,0.48861283664743416,24.823777510183017,0.47653350490113294,15.497219768620996,0.02632233314216137,2549.970437675746,0.06581129608394541,14.0,0.46137064017768775,ood:cond:pp:2549.97 outside [505.725,ffno
0.0,0.6772165891785951,10.097248077392578,0.8099898276661287,4.228001117399996,0.49457004691392537,15.40227673615843,0.6235807349760434,8.913728736460376,0.5430016976219929,15.731720058041944,0.39750919901199194,12.323531849982903,0.5168075408563311,14.74169560979696,0.4462600612716555,16.727514652532978,0.6978055982160916,15.125925739566577,0.4044982891714031,20.575358578502648,0.7547123414332801,15.547802709681042,0.6544962055993134,24.89826017788409,0.29236982835920505,14.860350558898935,0.02574746683239937,2816.8765305608563,0.061761847257918154,15.0,0.4572831178551895,ood:cond:pp:2816.88 outside [505.725,ffno
0.0,0.9251465377908648,12.506396293640137,0.8184887431464251,3.924461011452939,0.693064144451665,15.917772259348519,0.5508153418581596,8.84817278722998,0.6059756212810203,15.096872558884503,0.710864229607816,12.123398300259762,0.41343622605407826,15.326568029012998,0.41761127759208727,16.325630694855874,0.5899020630923459,15.519415320379478,0.48268251230610726,21.135878077758193,0.6131882161955384,14.794737196427269,0.4601816359287934,25.078688601836017,0.6722375572037553,15.129241487574127,0.02631513774394989,582.9742433037231,0.02295432571521889,16.0,1.4506219561482612,,ffno
0.0,0.693059861526059,9.621345520019531,0.730711045233035,4.298620098388091,0.5384171941779212,15.405331370555096,0.6485733349696021,7.760440342861002,0.5306877802610697,14.555229752082166,0.6903714034150995,12.725358895089167,0.739857195606294,14.947404768029065,0.757043452466728,16.20553686235963,0.32221995688609684,14.872079929290479,0.4041282016515218,21.284975782300418,0.42985695935339163,15.557192149049612,0.7275634773577582,26.194446921900006,0.7318708839444201,14.511237630243825,0.026101751253008842,2417.54041461004,0.053979520140489165,17.0,0.5062285670981782,ood:cond:pp:2417.54 outside [505.725,ffno
0.0,0.7115861467541044,9.29056167602539,0.7799471439961172,4.872971222809121,0.7905304363461934,15.203669011258933,0.4304551209869879,7.50289450868764,0.5564606519360991,14.370869723595241,0.5934130282063481,11.995632973677898,0.3777039762618872,14.706989912943817,0.5441862442300465,16.48660287178984,0.5013342938662853,15.90777860812304,0.5078601089798744,21.97291116696793,0.4961158105940243,14.588611260902924,0.4681227324858037,26.30015903411171,0.6099050513927102,14.914410638242968,0.02607775665819645,1048.9919036344145,0.08769428802971924,18.0,0.5536372268667504,,ffno
0.0,0.6966436012001046,7.971724510192871,0.49847108905248333,4.5932860466070755,0.3686997733055302,15.93995289763053,0.7007293312710399,8.86480330858726,0.5769746982381304,15.513833815175644,0.3925082340807976,12.72522161111654,0.6181400638717275,14.958419982915412,0.5802495563757846,17.74629335634926,0.506972676976905,14.832178463276545,0.5212055719944674,22.019685177823607,0.3564415022776659,15.065832729744189,0.6586934953729555,25.281873381274625,0.5610678239647033,15.888141191775992,0.025588691234588623,1036.7942855511596,0.06585960521439163,19.0,0.7541025342101338,,ffno
0.0,0.6953844174717745,8.071249008178711,0.3099837286964779,4.264279288732471,0.33790762469432495,14.486546785319492,0.6314685705497662,8.455840190073191,0.7094360730369911,14.660753223543102,0.2907060949763346,13.31323471551639,0.7379186389747696,14.976925758894728,0.371831208584811,17.269121874884007,0.578402764236544,15.212319784235806,0.31935453813780956,20.658123550911622,0.4677948547640579,14.905827710247381,0.7527762246942435,24.965533872309088,0.7069099184289673,14.53359442498406,0.025615248829126358,1286.7928618190647,0.0461693398385002,20.0,0.8287584981482127,,ffno
0.0,0.6976290527069285,8.80251693725586,0.32664071462564037,4.672120862470038,0.6696329037100819,15.566987162150658,0.5512645379999754,7.577546787081122,0.7529638149455486,15.873543588228697,0.3329039276950655,12.741900031982839,0.4038576504686631,15.738635274447043,0.416378943838733,16.84680489212856,0.6912789510125819,14.849197465346055,0.3179069013230815,20.917655574789674,0.45748416976347794,14.469117529364317,0.7471011595914546,25.43860636735081,0.45351296627096044,15.467345250649599,0.028194474056363106,1923.9412251550111,0.08898837328117168,21.0,0.43268079506531026,,ffno
0.0,0.6901709068512464,8.457611083984375,0.6710806268794548,4.173422678621984,0.3111792449976829,15.98857873782045,0.8088665958276795,8.291269899174607,0.5170358294021524,15.462078470703762,0.48811183562921767,12.329846094283159,0.4359744977201027,14.429002944013815,0.7591939266701515,16.265142972100552,0.44685581998164864,15.773277605023313,0.7015981266815228,21.99491225758049,0.2829507583631366,14.88198039037851,0.5394621388203882,25.901225135734204,0.4488092181476322,15.11500748196841,0.02622232399880886,1299.3870711259444,0.0602728843222831,22.0,0.6777690831384698,,ffno
0.0,0.6604926867503699,9.507022857666016,0.7415733453382924,4.12843673387192,0.8081958262986974,15.620566257405304,0.3319894389469936,8.720589441837925,0.6403751941454564,15.853747851808722,0.5456584546207552,12.105209249520536,0.7998401064644949,14.639648407741866,0.44397711903690484,16.647988626088438,0.5042489819198701,15.025012453234275,0.5180609561801626,21.394649193123566,0.7431130455300721,15.921012839382339,0.52754408120896,25.400555057734266,0.4193966333818971,15.47209046896835,0.024863388389348984,2943.580789783305,0.04069710439513842,23.0,0.5648465804507949,ood:cond:pp:2943.58 outside [505.725,ffno
0.0,0.6668864599969393,9.617219924926758,0.7216552491476227,3.6470445585739495,0.6199432898529947,14.441108878250946,0.5191792770571917,8.094686474776262,0.5504446849817483,14.825249539879673,0.5655746934713715,12.392965982455465,0.3949726770648257,14.59804522892798,0.4160748971983764,17.509248446088158,0.5158436479596072,14.720304448604145,0.6963659429012996,21.541026963704063,0.5768244589810503,15.92877951409363,0.6026943289493636,25.947364546831345,0.569123955784667,14.481018007535146,0.02534017525613308,2640.2386552019834,0.052680828296654596,24.0,0.4800794190109674,ood:cond:pp:2640.24 outside [505.725,ffno
