model,family,split,case_id,selected_label,score_mean_rel_rmse,validation_selection_value,recipe,run_root,validation_selection_split,validation_protocol,validation_scaler_fit_split,selection_manifest,leaderboard,mean_abs_peak_percent_error_Te,mean_abs_peak_percent_error_ne,mean_abs_peak_percent_error_ni,mean_abs_peak_percent_error_phi,mean_signed_peak_percent_error_Te,mean_signed_peak_percent_error_ne,mean_signed_peak_percent_error_ni,mean_signed_peak_percent_error_phi,rel_rmse_Te,rel_rmse_ne,rel_rmse_ni,rel_rmse_phi,rmse_Te,rmse_ne,rmse_ni,rmse_phi
ffno,neural_operator,interp,case_td030_pa200_pp0_5_gamma_004__steady,,0.020185554853173426,0.03729143402755107,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno,interp,ffno_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno/leaderboard.csv,0.07209327975684077,0.20816437946357375,0.20839475764365695,0.06649962395590625,-0.008062594635629172,0.01964983018847621,0.009492430678385632,0.02927922042913432,0.04507571666319155,0.013050758905548632,0.013001550440404278,0.009614193403549237,0.5714993282721709,55145058749884.6,55160454083937.24,0.4077800984908576
ffno,neural_operator,interp,case_td003_pa050_pp0_3_gamma_010__steady,,0.015947386214556766,0.03729143402755107,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno,interp,ffno_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno/leaderboard.csv,0.17863838742845617,0.44430285736615055,0.4319095464555697,0.14236058134779364,-0.11854620306876702,-0.058170915904932154,-0.042955636768202576,-0.05275845310915043,0.017906376459756245,0.017632543876254445,0.01729571903213989,0.01095490549007648,0.10606990169767092,25920538395165.547,25692557078549.965,0.29303595616840483
ffno,neural_operator,interp,case_td003_pp0_5_gamma_007__steady,,0.012075716753533859,0.03729143402755107,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno,interp,ffno_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/ffno/leaderboard.csv,0.1149710086096635,0.2478283762549786,0.24078628072429878,0.08290301652531643,0.04617903464718105,-0.04812114575834275,-0.017131044344093255,0.016924640211640404,0.01731616114907488,0.011379646886284026,0.010485612931905829,0.009121446046870698,0.1539169556661765,32655815679827.293,30267985699381.355,0.3177411024227496
deeponet_pod,pod_operator,interp,case_td003_pa200_pp0_5_gamma_004__steady,,0.025370261799530388,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.1082956895458844,0.29468312852298095,0.2727800778736922,0.08422720669445917,-0.030601372072747227,0.07750374388386547,0.10955922112043039,-0.037769071624736736,0.047086786532713025,0.01808009863795397,0.016326438234200845,0.019987723793253708,0.4822774184344271,67955580455197.414,61632954158985.97,0.7657800582783096
deeponet_pod,pod_operator,interp,case_td016_pa200_pp0_1_gamma_004__steady,,0.034613065456590944,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.19328231204276225,0.3925611627775595,0.8167225711814251,0.07422378930419524,-0.1455050358258961,-0.3748176390517076,-0.8046742508441498,0.05345507629315477,0.06056472842799057,0.021496960044102176,0.042131359861758026,0.014259213492512994,0.237028402941844,24177752917327.33,47857009001510.336,0.3111700894050562
deeponet_pod,pod_operator,interp,case_td003_pa200_pp0_1_gamma_010__steady,,0.056284889805483435,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.39980262283759826,1.0643029249534746,1.3507869194940127,0.3573577265275642,-0.20875762072303122,0.2837955542155878,0.741434001728046,0.2003318189665957,0.08979478019460026,0.04949164408347468,0.053802281481335174,0.03205085346252361,0.33200104009282877,52539089820403.1,57686432283628.68,0.6964492742945853
deeponet_pod,pod_operator,interp,case_td030_pp0_1_gamma_004__steady,,0.025949326563160766,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.26451177219513683,0.6997912703417584,0.3853426698360679,0.18089118419852268,0.2001808205774165,0.6580406950179948,0.3005666456974321,0.10983395594435187,0.0352828021421338,0.03722121527034457,0.02096230463204319,0.010330984208121506,0.1511481431968942,34481310903054.805,19684719239765.668,0.22171859848315903
deeponet_pod,pod_operator,interp,case_td016_pp0_1_gamma_007__steady,,0.04387330540317214,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.41687880300797453,0.6373015900480226,0.7823387195334428,0.16333468575219134,0.25971213621608785,0.33860017574965795,0.49551697507048453,0.12306065625762969,0.060151381538473186,0.04356556175007007,0.053399556725481426,0.018376721598663888,0.24001336862326522,37398773092946.24,46478037394140.91,0.3899271632227268
deeponet_pod,pod_operator,interp,case_td030_pa050_pp0_1_gamma_007__steady,,0.03495816549286314,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.16316881998965144,1.3072980081907666,0.4226060922065302,0.1319629459302987,-0.09309746041015521,-1.199612904021389,-0.21212682144413506,-0.053284502776318465,0.03637447041129315,0.06275424100839548,0.025605912198131603,0.015098038353632322,0.15689959370102782,42807546550108.41,17803613136168.88,0.31689816897093415
deeponet_pod,pod_operator,interp,case_td003_pp0_3_gamma_004__steady,representative,0.02344149595080014,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.2079999182026293,0.4524267568183371,0.4505474141427005,0.06370544958248865,0.13819084339985016,-0.17013891184440208,-0.14259537169868472,-0.03442456591866336,0.03902288725979877,0.021108388960168558,0.021099852473188463,0.012534855110044757,0.24910919181581317,41680327311707.99,41981712789997.45,0.35671387832233176
deeponet_pod,pod_operator,interp,case_td016_pa200_pp0_5_gamma_010__steady,,0.017214293613004864,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.10267323045821378,0.1503588731018477,0.19563616385990795,0.04814488654425245,-0.0502371700086842,-0.006657399897901244,0.1785364464246156,0.025313715964502517,0.03474152643171385,0.009777529378319286,0.009888926088083994,0.014449192553902323,0.39466932096747664,38667121267421.16,39274605991804.1,0.5781904548987546
