measurement_id,case_id,method,budget,best_loss
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.07133355283744267
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.060602075707025874
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,0.05504905143876742
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,100,0.05504905143876742
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,10,0.083664844348479
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,25,0.06539410980012099
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,50,0.05834796809502222
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,100,0.05834796809502222
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,10,0.11636904162568501
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,25,0.06392772775105891
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,50,0.06392772775105891
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,100,0.06392772775105891
M2,case_td016_pp0_1_gamma_007__steady,cmaes,10,0.6193173731840982
M2,case_td016_pp0_1_gamma_007__steady,cmaes,25,0.047920088672581296
M2,case_td016_pp0_1_gamma_007__steady,cmaes,50,0.043873196626813514
M2,case_td016_pp0_1_gamma_007__steady,cmaes,100,0.04384446466352651
M2,case_td016_pp0_1_gamma_007__steady,tpe,10,0.07583584626550832
M2,case_td016_pp0_1_gamma_007__steady,tpe,25,0.043291633893123294
M2,case_td016_pp0_1_gamma_007__steady,tpe,50,0.042872713893864406
M2,case_td016_pp0_1_gamma_007__steady,tpe,100,0.04273549534319884
M2,case_td016_pp0_1_gamma_007__steady,random,10,0.6012759623857507
M2,case_td016_pp0_1_gamma_007__steady,random,25,0.2745873975446086
M2,case_td016_pp0_1_gamma_007__steady,random,50,0.10062466187879512
M2,case_td016_pp0_1_gamma_007__steady,random,100,0.047255228083155375
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,10,0.2766003031460348
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,25,0.09011429067221224
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,50,0.058941414821427895
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,100,0.05258529001098062
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,10,0.06921241805924414
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,25,0.06921241805924414
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,50,0.05018452727629023
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,100,0.05018452727629023
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,10,0.13426352964754182
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,25,0.10744645050498491
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,50,0.06845751377001094
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,100,0.0633188309728989
