measurement_id,case_id,method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,1,3.0,0.125,0.07,3.0,0.125,0.07,0.5628434392461068,0.5628434392461068,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,2,3.001589167035564,0.07900605221026766,0.04365617553182881,3.001589167035564,0.07900605221026766,0.04365617553182881,0.2443280703746771,0.2443280703746771,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,3,3.7645770946402815,0.14760264466958872,0.07758790159003885,3.001589167035564,0.07900605221026766,0.04365617553182881,1.0212097181098734,0.2443280703746771,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,4,4.275605253530117,0.07245118262324551,0.06944667241593723,3.001589167035564,0.07900605221026766,0.04365617553182881,0.5764793590475427,0.2443280703746771,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,5,2.7003806206038745,0.14067183855407964,0.06083813924493101,3.001589167035564,0.07900605221026766,0.04365617553182881,0.5048507587527056,0.2443280703746771,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,6,1.9448888578548913,0.11939639243521957,0.0848785531905092,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.07133355283744267,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,7,2.452004958103689,0.16590698117205405,0.06766767782563078,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.48244171256960994,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,8,3.7653403231140103,0.07358402514768021,0.07609258274570099,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.4464899795716369,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,9,1.7015931640119573,0.12534797068113168,0.04364459747716634,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.08583018469281554,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,1.9334582310721462,0.0954818911492423,0.05154455921483723,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.09608219797505278,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,11,1.7485487774987987,0.11943818840176336,0.08578998082818831,1.9448888578548913,0.11939639243521957,0.0848785531905092,0.0806654143682265,0.07133355283744267,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,12,2.783938225150601,0.0618496718035922,0.047555204926705445,2.783938225150601,0.0618496718035922,0.047555204926705445,0.060602075707025874,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,13,1.408041117550504,0.14227864770612675,0.06598162522056217,2.783938225150601,0.0618496718035922,0.047555204926705445,0.16413552783100974,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,14,1.4904405642706664,0.1314361870975407,0.042467858873789455,2.783938225150601,0.0618496718035922,0.047555204926705445,0.15717875675240717,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,15,2.3354727577789967,0.07475483416832866,0.05833945616859759,2.783938225150601,0.0618496718035922,0.047555204926705445,0.06376130973185033,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,16,1.3549923959953956,0.12524603050313787,0.09604479366590771,2.783938225150601,0.0618496718035922,0.047555204926705445,0.22845532008987027,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,17,1.5399239461090957,0.1239024510137731,0.08069038206157725,2.783938225150601,0.0618496718035922,0.047555204926705445,0.15149355560068875,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,18,1.3512251427338042,0.08383207687134125,0.0717960025419741,2.783938225150601,0.0618496718035922,0.047555204926705445,0.36338678321120177,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,19,1.3355801196817505,0.08112768997124542,0.06909838139925045,2.783938225150601,0.0618496718035922,0.047555204926705445,0.37910684247271514,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,20,2.5089410377838584,0.09099019122896065,0.07096952716634183,2.783938225150601,0.0618496718035922,0.047555204926705445,0.15095237725630414,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,21,2.6722944677178138,0.09553589791157462,0.06977368366331896,2.783938225150601,0.0618496718035922,0.047555204926705445,0.2428106791757657,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,22,1.0467907547770332,0.1149808221754316,0.07514417406467863,2.783938225150601,0.0618496718035922,0.047555204926705445,0.3882955826481521,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,23,3.079118742750474,0.09922338662768504,0.05613407612268551,2.783938225150601,0.0618496718035922,0.047555204926705445,0.4262207539371015,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,24,2.0293812075747857,0.07020676912025334,0.0525811147149731,2.783938225150601,0.0618496718035922,0.047555204926705445,0.18323040429617685,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,3.277856083878199,0.05171723849056979,0.07926672851012273,2.783938225150601,0.0618496718035922,0.047555204926705445,0.10989741886345533,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,26,2.49122122186123,0.09934261768461147,0.06771153678300981,2.783938225150601,0.0618496718035922,0.047555204926705445,0.19294155127678217,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,27,2.7774844305035837,0.11994818332770588,0.06277266208026763,2.783938225150601,0.0618496718035922,0.047555204926705445,0.4343822651358996,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,28,2.8518090717980265,0.07403910754232695,0.0777946726852849,2.783938225150601,0.0618496718035922,0.047555204926705445,0.15998209683726372,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,29,1.624351438723028,0.15119499657760724,0.0748194493561816,2.783938225150601,0.0618496718035922,0.047555204926705445,0.06485699111369225,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,30,2.770594481832177,0.07963331648186854,0.06281863043165019,2.783938225150601,0.0618496718035922,0.047555204926705445,0.17115223861462095,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,31,1.1942724895532504,0.11250464672504605,0.07260133342518404,2.783938225150601,0.0618496718035922,0.047555204926705445,0.33468170197208297,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,32,1.3288413012904405,0.05300433639947391,0.04752934647669882,2.783938225150601,0.0618496718035922,0.047555204926705445,0.49141300328478327,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,33,4.050938483119456,0.0887370709155614,0.0910907434474792,2.783938225150601,0.0618496718035922,0.047555204926705445,0.6744387082514457,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,34,1.4739912747635229,0.07472944536591417,0.07237438666470525,2.783938225150601,0.0618496718035922,0.047555204926705445,0.3546736871620964,0.060602075707025874,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,35,2.0614425546262916,0.09977317821073653,0.0686047558157922,2.0614425546262916,0.09977317821073653,0.0686047558157922,0.0566667523546514,0.0566667523546514,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,36,2.2677381677204247,0.0850170124778119,0.05912660022782544,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.05504905143876742,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,37,4.4888029614548,0.10870914486598798,0.09550732714391745,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.9867766362482563,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,38,1.5868587083419317,0.08030035790483665,0.07109366388203249,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2907919565687699,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,39,1.388816805064399,0.087270256444482,0.052376009048013,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.3391452968824501,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,40,2.3572055994218077,0.09885492677057868,0.05468423415774994,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.13474009295867553,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,41,2.1813806105340863,0.06548561954185911,0.06039759360807183,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.15806073650966418,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,42,2.117058137779315,0.10979938015366736,0.056246144970376326,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.09342010016930129,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,43,2.3692462486428525,0.0651436494540927,0.08141661146138707,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.09912006737752224,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,44,1.5903018377636533,0.14051167265981013,0.06777185517619265,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.08949733435072978,0.05504905143876742,True
