method,n_measurements,trials_per_measurement,best_trials_total,surrogate_search_s,direct_fixed_budget_mean_est_s,direct_fixed_budget_median_est_s,direct_oracle_best_mean_est_s,direct_oracle_best_median_est_s,surrogate_65_build_s,surrogate_78_benchmark_s,surrogate_65_build_plus_3_validation_s,fixed_budget_speedup_65_build,fixed_budget_speedup_existing_model
cmaes,3,100,198,56.34096359999967,85051.26805555556,39588.9,59658.90771296296,26974.192000000003,18694.601621200014,22989.042621200006,19545.11430175557,4.549509520390416,1509.581352910266
tpe,3,100,138,56.78008760002558,85051.26805555556,39588.9,37994.732162037035,17707.814,18695.04074520004,22989.48174520003,19545.553425755596,4.549402657888965,1497.9066016008971
random,3,100,202,56.38101219997043,85051.26805555556,39588.9,61608.46723148148,27437.719000000005,18694.641669799985,22989.082669799976,19545.15435035554,4.549499774202707,1508.509066029151
