model_id,source,part_id,r_center,z_center,width,height,delta_r_center,delta_z_center,delta_width,delta_height
ffno,trial_best,coil_01,4.3363844792506105,14.758409560988824,0.5042292111353276,0.5967963429123382,0.31343447925061074,-0.42004043901117605,-0.05007078886467242,0.04249634291233817
ffno,trial_best,coil_02,8.089836896674232,15.10293964771835,0.4396645582395198,0.45477936314708595,-0.25877977032576815,-0.07551035228165048,-0.11463544176048024,-0.09952063685291407
ffno,trial_best,coil_03,12.818292011446896,15.047582362938652,0.45220188731915956,0.5164842755755582,0.1440086814468966,-0.13086763706134796,-0.10209811268084046,-0.03781572442444181
ffno,trial_best,coil_04,17.116662776403466,14.864538534781772,0.6069944661302327,0.6266247451102611,0.11671277640346744,-0.31391146521822755,0.05269446613023265,0.0723247451102611
ffno,trial_best,coil_05,20.92059188931051,15.1368803382401,0.462103437040316,0.5696201624132403,-0.40502478068948733,-0.04156966175989929,-0.09219656295968404,0.015320162413240301
ffno,trial_best,coil_06,25.65314232772477,14.748950404307745,0.5842433544723402,0.6003459399071774,0.0018589977247707168,-0.4294995956922545,0.0299433544723402,0.046045939907177424
unet,trial_best,coil_01,4.3363844792506105,14.758409560988824,0.5042292111353276,0.5967963429123382,0.31343447925061074,-0.42004043901117605,-0.05007078886467242,0.04249634291233817
unet,trial_best,coil_02,8.089836896674232,15.10293964771835,0.4396645582395198,0.45477936314708595,-0.25877977032576815,-0.07551035228165048,-0.11463544176048024,-0.09952063685291407
unet,trial_best,coil_03,12.818292011446896,15.047582362938652,0.45220188731915956,0.5164842755755582,0.1440086814468966,-0.13086763706134796,-0.10209811268084046,-0.03781572442444181
unet,trial_best,coil_04,17.116662776403466,14.864538534781772,0.6069944661302327,0.6266247451102611,0.11671277640346744,-0.31391146521822755,0.05269446613023265,0.0723247451102611
unet,trial_best,coil_05,20.92059188931051,15.1368803382401,0.462103437040316,0.5696201624132403,-0.40502478068948733,-0.04156966175989929,-0.09219656295968404,0.015320162413240301
unet,trial_best,coil_06,25.65314232772477,14.748950404307745,0.5842433544723402,0.6003459399071774,0.0018589977247707168,-0.4294995956922545,0.0299433544723402,0.046045939907177424
